요일,시각,21,22,23,24,33,40,53,71,83,85,86,25_26_27,31_32,51_61_62
월,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,09:00,0,131,0,0,0,137,45,35,0,0,0,95,77,44
월,09:30,0,131,0,0,0,137,45,35,0,0,0,95,77,44
월,10:00,0,131,0,0,0,137,45,35,0,0,0,95,77,44
월,10:30,0,334,219,0,136,196,45,35,0,66,0,160,98,78
월,11:00,0,334,219,0,136,196,45,72,0,66,0,160,98,78
월,11:30,0,334,219,0,136,196,45,72,0,66,0,160,98,78
월,12:00,0,175,120,0,47,0,0,72,0,61,0,165,96,40
월,12:30,0,175,120,0,47,0,0,72,0,61,0,165,96,40
월,13:00,0,175,120,0,47,0,167,40,0,61,0,165,96,40
월,13:30,53,284,0,0,0,17,167,40,0,0,0,302,0,153
월,14:00,53,284,0,0,0,17,167,40,0,0,0,302,0,153
월,14:30,53,284,0,0,0,17,167,40,0,0,0,302,0,153
월,15:00,0,38,0,0,0,34,233,72,0,0,0,335,0,28
월,15:30,0,38,0,0,0,34,233,72,0,0,0,335,0,28
월,16:00,0,38,0,0,0,34,233,37,0,0,0,335,0,28
월,16:30,19,140,0,0,49,75,233,37,39,0,0,151,72,57
월,17:00,19,140,0,0,49,75,94,0,39,0,0,151,72,65
월,17:30,19,140,0,0,49,75,94,0,39,0,0,151,72,65
월,18:00,0,85,32,46,60,0,0,0,0,0,0,83,39,33
월,18:30,0,85,32,46,60,0,0,0,0,0,0,83,39,33
월,19:00,0,85,32,46,60,0,0,0,0,0,0,83,39,25
월,19:30,0,85,32,46,60,0,0,0,0,0,0,83,39,25
월,20:00,0,85,32,46,39,0,0,0,0,0,0,83,0,25
월,20:30,0,85,32,46,39,0,0,0,0,0,0,83,0,25
월,21:00,0,85,32,46,0,0,0,0,0,0,0,50,0,0
월,21:30,0,85,32,46,0,0,0,0,0,0,0,50,0,0
화,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,09:00,59,198,133,0,0,75,0,75,8,0,0,242,37,64
화,09:30,59,198,133,0,0,75,0,75,8,0,0,242,37,64
화,10:00,59,198,133,0,0,75,73,75,8,0,11,242,37,64
화,10:30,64,253,64,0,61,85,73,75,19,0,11,402,0,18
화,11:00,64,253,64,0,61,85,73,75,19,0,11,378,0,18
화,11:30,64,253,64,0,61,85,73,75,19,0,11,378,0,18
화,12:00,0,55,0,0,0,106,0,0,0,90,0,164,10,70
화,12:30,0,55,0,0,0,106,0,0,0,90,0,164,10,70
화,13:00,0,55,0,0,0,106,148,35,0,90,0,164,10,70
화,13:30,59,145,128,0,36,36,148,35,8,64,0,232,0,81
화,14:00,59,145,128,0,36,36,148,35,8,64,0,232,0,81
화,14:30,59,145,128,0,36,36,148,35,8,64,0,232,0,81
화,15:00,0,88,0,0,0,73,157,0,0,169,0,281,0,37
화,15:30,0,88,0,0,0,73,157,0,0,169,0,281,0,37
화,16:00,0,88,0,0,0,73,157,0,0,169,0,295,0,37
