요일,시각,21,22,23,24,33,40,53,71,83,85,86,25_26_27,31_32,51_61_62
목,12:00,60,175,60,0,82,97,0,9,0,51,0,251,33,55
목,12:30,60,175,60,0,82,97,0,9,0,51,0,251,33,55
목,13:00,60,175,60,0,82,97,0,2,0,51,0,251,33,55
목,13:30,0,149,0,0,0,56,0,2,0,74,0,126,111,0
목,14:00,0,149,0,0,0,108,0,2,0,74,0,126,111,0
목,14:30,0,149,0,0,0,108,0,2,0,74,0,126,111,0
목,15:00,0,258,0,0,0,101,0,0,0,138,0,344,46,33
목,15:30,0,258,0,0,0,101,0,0,0,138,0,344,46,33
목,16:00,0,258,0,0,0,101,0,0,0,138,0,344,46,33
목,16:30,0,93,0,0,30,189,0,0,0,40,0,318,44,18
목,17:00,0,93,0,0,30,189,0,0,0,40,0,318,44,18
목,17:30,0,93,0,0,30,189,0,0,0,40,0,318,44,18
목,18:00,0,97,0,45,16,0,0,0,0,52,0,12,54,0
목,18:30,0,97,0,45,16,0,0,0,0,52,0,12,54,0
목,19:00,0,97,0,45,16,0,0,0,0,52,0,12,54,0
목,19:30,0,42,0,45,16,0,0,0,0,52,0,12,54,35
목,20:00,0,42,0,45,0,0,0,0,0,52,0,12,0,35
목,20:30,0,42,0,45,0,0,0,0,0,52,0,12,0,35
목,21:00,0,0,0,20,0,0,0,0,0,52,0,24,0,0
목,21:30,0,0,0,20,0,0,0,0,0,52,0,24,0,0
금,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금,09:00,0,0,49,0,0,0,113,2,0,0,0,40,10,68
금,09:30,0,0,49,0,0,0,113,2,0,0,0,40,10,68
금,10:00,0,0,49,0,0,0,120,2,11,0,0,40,25,68
금,10:30,0,0,49,0,0,0,120,2,11,0,0,90,25,68
금,11:00,0,0,49,0,0,0,54,2,11,0,0,90,25,68
금,11:30,0,0,49,0,0,0,54,2,11,0,0,90,25,68
금,12:00,0,75,42,0,0,0,74,0,0,0,0,158,76,131
금,12:30,0,75,42,0,0,0,74,0,0,0,0,158,76,131
금,13:00,0,75,42,0,0,0,74,2,0,0,0,158,76,131
금,13:30,0,75,42,0,0,0,74,2,0,0,0,158,76,131
금,14:00,0,75,42,0,0,0,74,2,0,0,0,158,76,131
금,14:30,0,75,42,0,0,0,74,2,0,0,0,158,76,131
금,15:00,0,16,0,0,0,0,74,0,0,59,0,4,8,25
금,15:30,0,16,0,0,0,0,74,0,0,59,0,4,8,25
금,16:00,0,0,0,0,0,0,74,0,0,59,0,4,8,25
금,16:30,0,0,0,0,0,0,74,0,0,0,0,4,8,25
금,17:00,0,0,0,0,0,0,74,0,0,0,0,4,8,25
금,17:30,0,0,0,0,0,0,74,0,0,0,0,4,8,25
금,18:00,0,0,49,0,0,0,0,0,0,0,0,0,0,11
금,18:30,0,0,49,0,0,0,0,0,0,0,0,0,0,11
