요일,시각,21,22,23,24,33,40,53,71,83,85,86,25_26_27,31_32,51_61_62
목,12:00,0,201,65,0,159,99,65,0,15,0,0,236,60,114
목,12:30,0,201,65,0,159,99,65,0,15,0,0,236,60,114
목,13:00,0,201,65,0,159,99,0,0,15,0,0,236,60,114
목,13:30,103,174,0,0,45,64,0,0,0,130,0,420,102,32
목,14:00,103,174,0,0,45,130,0,0,0,130,0,420,102,32
목,14:30,103,174,0,0,45,130,0,0,0,130,0,420,102,32
목,15:00,70,132,0,0,97,36,0,0,0,0,0,72,23,45
목,15:30,70,132,0,0,97,36,0,0,0,0,0,72,23,45
목,16:00,70,132,0,0,97,36,0,0,0,0,0,72,23,45
목,16:30,12,183,76,0,114,113,0,0,0,0,0,248,33,90
목,17:00,12,183,76,0,114,113,0,0,0,0,0,248,33,90
목,17:30,12,183,76,0,114,113,0,0,0,0,0,248,33,90
목,18:00,0,35,50,27,0,0,0,0,0,58,0,8,22,0
목,18:30,0,35,50,27,0,0,0,0,0,58,0,8,22,0
목,19:00,0,35,50,27,0,0,0,0,0,58,0,8,22,0
목,19:30,0,0,50,27,0,0,0,0,0,58,0,0,22,0
목,20:00,0,0,50,27,0,0,0,0,0,58,0,0,0,0
목,20:30,0,0,50,27,0,0,0,0,0,58,0,0,0,0
목,21:00,0,0,50,27,0,0,0,0,0,58,0,0,0,0
목,21:30,0,0,50,27,0,0,0,0,0,58,0,0,0,0
금,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금,09:00,0,42,10,0,0,0,47,0,0,0,0,64,47,37
금,09:30,0,42,10,0,0,0,47,0,0,0,0,64,47,37
금,10:00,0,42,10,0,0,0,47,0,0,0,0,64,47,37
금,10:30,0,0,10,0,0,0,47,0,16,0,0,111,47,126
금,11:00,0,0,10,0,0,0,47,0,16,0,0,111,47,126
금,11:30,0,0,10,0,0,0,47,0,16,0,0,111,47,126
금,12:00,0,0,0,0,0,0,0,0,20,0,0,140,46,82
금,12:30,0,0,0,0,0,0,0,0,20,0,0,140,46,82
금,13:00,0,0,0,0,0,0,17,0,20,0,0,211,46,82
금,13:30,0,0,0,0,0,0,17,0,0,0,0,211,46,82
금,14:00,0,0,0,0,0,0,17,0,0,0,0,211,46,82
금,14:30,0,0,0,0,0,0,17,0,0,0,0,211,46,82
금,15:00,0,39,100,0,0,0,0,0,0,76,0,138,72,68
