요일,시각,21,22,23,24,33,40,53,71,83,85,86,25_26_27,31_32,51_61_62
월,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
월,09:00,74,130,80,0,68,75,69,1,0,0,0,215,43,49
월,09:30,74,130,80,0,68,75,69,1,0,0,0,215,43,49
월,10:00,74,130,80,0,68,75,69,1,0,0,0,215,43,49
월,10:30,54,144,80,0,68,127,69,1,12,110,0,314,0,100
월,11:00,54,144,80,0,68,127,69,0,12,110,0,314,0,100
월,11:30,54,144,80,0,68,127,69,0,12,110,0,314,0,100
월,12:00,0,242,0,0,35,66,0,0,0,125,0,429,73,4
월,12:30,0,242,0,0,35,66,0,0,0,125,0,429,73,4
월,13:00,0,242,0,0,35,66,127,0,0,125,0,429,73,4
월,13:30,0,205,0,0,59,12,127,0,36,0,0,295,0,20
월,14:00,0,205,0,0,59,12,127,0,36,0,0,295,0,20
월,14:30,0,205,0,0,59,12,127,0,36,0,0,295,0,20
월,15:00,0,93,0,0,0,0,63,0,0,41,0,216,35,31
월,15:30,0,93,0,0,0,0,63,0,0,41,0,216,35,31
월,16:00,0,93,0,0,0,0,117,0,0,41,0,216,35,31
월,16:30,68,171,0,0,52,94,117,0,0,115,0,130,0,15
월,17:00,68,171,0,0,52,94,117,0,0,115,0,130,0,26
월,17:30,68,171,0,0,52,94,117,0,0,115,0,130,0,26
월,18:00,0,99,0,48,19,0,0,0,0,0,0,61,0,49
월,18:30,0,99,0,48,19,0,0,0,0,0,0,61,0,49
월,19:00,0,99,0,48,19,0,0,0,0,0,0,61,0,38
월,19:30,0,99,0,48,19,0,0,0,0,0,0,45,0,38
월,20:00,0,99,0,48,0,0,0,0,0,0,0,45,0,38
월,20:30,0,99,0,48,0,0,0,0,0,0,0,0,0,38
월,21:00,0,54,0,48,0,0,0,0,0,0,0,0,0,0
월,21:30,0,54,0,48,0,0,0,0,0,0,0,0,0,0
화,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화,09:00,0,261,0,0,0,76,0,1,0,0,0,387,47,35
화,09:30,0,261,0,0,0,76,0,1,0,0,0,387,47,35
화,10:00,0,261,0,0,0,76,0,1,0,0,26,387,47,35
화,10:30,162,319,0,0,0,0,0,1,20,0,26,347,10,35
화,11:00,162,319,0,0,0,0,0,1,20,0,26,333,10,46
화,11:30,162,319,0,0,0,0,0,1,20,0,26,333,10,46
화,12:00,0,30,80,0,80,87,0,0,0,0,0,312,0,29
화,12:30,0,30,80,0,80,87,0,0,0,0,0,312,0,29
화,13:00,0,30,80,0,80,87,130,0,0,0,0,312,0,0
화,13:30,0,231,0,0,98,94,130,0,0,122,0,227,35,6
화,14:00,0,231,0,0,98,94,130,0,0,122,0,199,35,6
화,14:30,0,231,0,0,98,94,130,0,0,122,0,199,35,6
화,15:00,21,148,0,0,83,4,111,0,0,27,0,239,75,31
화,15:30,21,148,0,0,83,4,111,0,0,27,0,239,75,31
화,16:00,21,148,0,0,83,4,111,0,0,27,0,239,75,31
